     laywind   0   0
          30
 end-of-data   0   0
 'START departure coefficients version 1.0'
        128 number of layers
         61 number of level
         100           1           1
 1.5265D+00 1.4819D+00 1.4376D+00 1.3942D+00 1.3523D+00 1.3127D+00 1.2753D+00 1.2401D+00 1.2066D+00 1.1745D+00
 1.1438D+00 1.1157D+00 1.0923D+00 1.0769D+00 1.0736D+00 1.0820D+00 1.1052D+00 1.1450D+00 1.1999D+00 1.2606D+00
 1.3128D+00 1.3444D+00 1.3462D+00 1.3148D+00 1.2584D+00 1.1989D+00 1.1404D+00 1.0936D+00 1.0597D+00 1.0494D+00
 1.0408D+00 1.0336D+00 1.0276D+00 1.0225D+00 1.0182D+00 1.0146D+00 1.0116D+00 1.0091D+00 1.0071D+00 1.0054D+00
 1.0040D+00 1.0029D+00 1.0021D+00 1.0015D+00 1.0011D+00 1.0009D+00 1.0007D+00 1.0006D+00 1.0005D+00 1.0004D+00
 1.0003D+00 1.0003D+00 1.0002D+00 1.0002D+00 1.0002D+00 1.0002D+00 1.0002D+00 1.0002D+00 1.0002D+00 1.0002D+00
 1.0002D+00 1.0001D+00 1.0001D+00 1.0000D+00 1.0000D+00 1.0000D+00 1.0000D+00 1.0000D+00 1.0000D+00 1.0000D+00
 1.0000D+00 1.0000D+00 1.0000D+00 1.0000D+00 1.0000D+00 1.0000D+00 1.0000D+00 1.0000D+00 1.0000D+00 1.0000D+00
 1.0000D+00 1.0000D+00 1.0000D+00 1.0000D+00 1.0000D+00 1.0000D+00 1.0000D+00 1.0000D+00
         100           6           1
 5.1149D-02 1.9996D-01 2.2214D-01 2.4416D-01 2.6928D-01 2.9744D-01 3.2920D-01 3.6501D-01 4.0521D-01 4.5052D-01
 5.0145D-01 5.5833D-01 6.2128D-01 6.9016D-01 7.6476D-01 8.4454D-01 9.2858D-01 1.0158D+00 1.1048D+00 1.1940D+00
 1.2807D+00 1.3640D+00 1.4426D+00 1.5152D+00 1.5809D+00 1.6395D+00 1.6905D+00 1.7343D+00 1.7708D+00 1.7999D+00
 1.8224D+00 1.8376D+00 1.8468D+00 1.8506D+00 1.8495D+00 1.8440D+00 1.8347D+00 1.8239D+00 1.8117D+00 1.7983D+00
 1.7831D+00 1.7659D+00 1.7455D+00 1.7207D+00 1.6906D+00 1.6550D+00 1.6143D+00 1.5693D+00 1.5211D+00 1.4711D+00
 1.4209D+00 1.3722D+00 1.3273D+00 1.2889D+00 1.2646D+00 1.2474D+00 1.2365D+00 1.2287D+00 1.2201D+00 1.2109D+00
 1.2017D+00 1.1877D+00 1.1633D+00 1.1337D+00 1.1049D+00 1.0797D+00 1.0558D+00 1.0369D+00 1.0234D+00 1.0193D+00
 1.0159D+00 1.0131D+00 1.0107D+00 1.0088D+00 1.0071D+00 1.0057D+00 1.0045D+00 1.0036D+00 1.0028D+00 1.0021D+00
 1.0016D+00 1.0012D+00 1.0008D+00 1.0006D+00 1.0004D+00 1.0004D+00 1.0003D+00 1.0002D+00 1.0002D+00 1.0002D+00
 1.0001D+00 1.0001D+00 1.0001D+00 1.0001D+00 1.0001D+00 1.0001D+00 1.0001D+00 1.0001D+00 1.0001D+00 1.0001D+00
